child,parent
flare,
analytics,flare
cluster,analytics
AgglomerativeCluster,cluster
CommunityStructure,cluster
HierarchicalCluster,cluster
MergeEdge,cluster
graph,analytics
BetweennessCentrality,graph
LinkDistance,graph
MaxFlowMinCut,graph
ShortestPaths,graph
SpanningTree,graph
optimization,analytics
AspectRatioBanker,optimization
animate,flare
Easing,animate
FunctionSequence,animate
interpolate,animate
ArrayInterpolator,interpolate
ColorInterpolator,interpolate
DateInterpolator,interpolate
Interpolator,interpolate
MatrixInterpolator,interpolate
NumberInterpolator,interpolate
ObjectInterpolator,interpolate
PointInterpolator,interpolate
RectangleInterpolator,interpolate
ISchedulable,animate
Parallel,animate
Pause,animate
Scheduler,animate
Sequence,animate
Transition,animate
Transitioner,animate
TransitionEvent,animate
Tween,animate
data,flare
converters,data
Converters,converters
DelimitedTextConverter,converters
GraphMLConverter,converters
IDataConverter,converters
JSONConverter,converters
DataField,data
DataSchema,data
DataSet,data
DataSource,data
DataTable,data
DataUtil,data
display,flare
DirtySprite,display
LineSprite,display
RectSprite,display
TextSprite,display
flex,flare
FlareVis,flex
physics,flare
DragForce,physics
GravityForce,physics
IForce,physics
NBodyForce,physics
Particle,physics
Simulation,physics
Spring,physics
SpringForce,physics
query,flare
AggregateExpression,query
And,query
Arithmetic,query
Average,query
BinaryExpression,query
Comparison,query
CompositeExpression,query
Count,query
DateUtil,query
Distinct,query
Expression,query
ExpressionIterator,query
Fn,query
If,query
IsA,query
Literal,query
Match,query
Maximum,query
methods,query
add,methods
and,methods
average,methods
count,methods
distinct,methods
div,methods
eq,methods
fn,methods
gt,methods
gte,methods
iff,methods
isa,methods
lt,methods
lte,methods
max,methods
min,methods
mod,methods
mul,methods
neq,methods
not,methods
or,methods
orderby,methods
range,methods
select,methods
stddev,methods
sub,methods
sum,methods
update,methods
variance,methods
where,methods
xor,methods
_,methods
Minimum,query
Not,query
Or,query
Query,query
Range,query
StringUtil,query
Sum,query
Variable,query
Variance,query
Xor,query
scale,flare
IScaleMap,scale
LinearScale,scale
LogScale,scale
OrdinalScale,scale
QuantileScale,scale
QuantitativeScale,scale
RootScale,scale
Scale,scale
ScaleType,scale
TimeScale,scale
util,flare
Arrays,util
Colors,util
Dates,util
Displays,util
Filter,util
Geometry,util
heap,util
FibonacciHeap,heap
HeapNode,heap
IEvaluable,util
IPredicate,util
IValueProxy,util
math,util
DenseMatrix,math
IMatrix,math
SparseMatrix,math
Maths,util
Orientation,util
palette,util
ColorPalette,palette
Palette,palette
ShapePalette,palette
SizePalette,palette
Property,util
Shapes,util
Sort,util
Stats,util
Strings,util
vis,flare
axis,vis
Axes,axis
Axis,axis
AxisGridLine,axis
AxisLabel,axis
CartesianAxes,axis
controls,vis
AnchorControl,controls
ClickControl,controls
Control,controls
ControlList,controls
DragControl,controls
ExpandControl,controls
HoverControl,controls
IControl,controls
PanZoomControl,controls
SelectionControl,controls
TooltipControl,controls
data,vis
Data,data
DataList,data
DataSprite,data
EdgeSprite,data
NodeSprite,data
render,data
ArrowType,render
EdgeRenderer,render
IRenderer,render
ShapeRenderer,render
ScaleBinding,data
Tree,data
TreeBuilder,data
events,vis
DataEvent,events
SelectionEvent,events
TooltipEvent,events
VisualizationEvent,events
legend,vis
Legend,legend
LegendItem,legend
LegendRange,legend
operator,vis
distortion,operator
BifocalDistortion,distortion
Distortion,distortion
FisheyeDistortion,distortion
encoder,operator
ColorEncoder,encoder
Encoder,encoder
PropertyEncoder,encoder
ShapeEncoder,encoder
SizeEncoder,encoder
filter,operator
FisheyeTreeFilter,filter
GraphDistanceFilter,filter
VisibilityFilter,filter
IOperator,operator
label,operator
Labeler,label
RadialLabeler,label
StackedAreaLabeler,label
layout,operator
AxisLayout,layout
BundledEdgeRouter,layout
CircleLayout,layout
CirclePackingLayout,layout
DendrogramLayout,layout
ForceDirectedLayout,layout
IcicleTreeLayout,layout
IndentedTreeLayout,layout
Layout,layout
NodeLinkTreeLayout,layout
PieLayout,layout
RadialTreeLayout,layout
RandomLayout,layout
StackedAreaLayout,layout
TreeMapLayout,layout
Operator,operator
OperatorList,operator
OperatorSequence,operator
OperatorSwitch,operator
SortOperator,operator
Visualization,vis
